Summary
Top-level Name,qmult

Clocks
,,unknown,Internal,inf

Fabric Logic Element
Enabled,117,,,0.125,Typical
Enabled,14,,,0.125,High
Enabled,101,,,0.125,Very_High
,,0,,,

BRAM
,0,,,,,,,,,,

DSP
Enabeld,6,DSP38,,20,18,0.125

I/O
Disabled,\a,32,Input,LVCMOS 1.8V (HR),2 mA,Slow,SDR,unknown
Disabled,\b,32,Input,LVCMOS 1.8V (HR),2 mA,Slow,SDR,unknown
Disabled,\c,32,Output,LVCMOS 1.8V (HR),2 mA,Slow,SDR,unknown
